variant,description,remove_drug_name,use_hopfield,use_infoloob,recall_at_1,mrr,recall_at_5,recall_at_10,grouped_recall_1,T4_S2T,T4_T2S,T10_S2T,T10_T2S,T20_S2T,T20_T2S,epochs,beta,tau,lr,batch_size,test_size
A,InfoNCE  + No Hopfield  (Thin Bridges baseline),False,False,False,0.18620689655172415,0.27735050777977655,0.36091954022988504,0.43908045977011495,0.4075471698113208,0.735632183908046,0.7034482758620689,0.5494252873563218,0.5862068965517241,0.5080459770114942,0.4781609195402299,150,5.0,0.06666666666666667,0.0005,512,435
A,InfoNCE  + No Hopfield  (Thin Bridges baseline),True,False,False,0.10344827586206896,0.21401955821780821,0.32413793103448274,0.432183908045977,0.17358490566037735,0.7126436781609196,0.735632183908046,0.542528735632184,0.5954022988505747,0.503448275862069,0.49885057471264366,150,5.0,0.06666666666666667,0.0005,512,435
B,InfoLOOB + No Hopfield,False,False,True,0.17471264367816092,0.2799210288158356,0.3931034482758621,0.4735632183908046,0.3584905660377358,0.7563218390804598,0.7471264367816092,0.6022988505747127,0.6114942528735632,0.5172413793103449,0.49885057471264366,150,5.0,0.06666666666666667,0.0005,512,435
B,InfoLOOB + No Hopfield,True,False,True,0.06436781609195402,0.14109401288579268,0.2045977011494253,0.296551724137931,0.1811320754716981,0.6367816091954023,0.6505747126436782,0.45517241379310347,0.45517241379310347,0.35402298850574715,0.38620689655172413,150,5.0,0.06666666666666667,0.0005,512,435
C,InfoNCE  + Hopfield,False,True,False,0.18620689655172415,0.27735050777977655,0.36091954022988504,0.43908045977011495,0.4075471698113208,0.735632183908046,0.7034482758620689,0.5494252873563218,0.5862068965517241,0.5080459770114942,0.4781609195402299,150,5.0,0.06666666666666667,0.0005,512,435
C,InfoNCE  + Hopfield,True,True,False,0.10344827586206896,0.21401955821780821,0.32413793103448274,0.432183908045977,0.17358490566037735,0.7126436781609196,0.735632183908046,0.542528735632184,0.5954022988505747,0.503448275862069,0.49885057471264366,150,5.0,0.06666666666666667,0.0005,512,435
D,InfoLOOB + Hopfield     (full CLOOB — proposed),False,True,True,0.10574712643678161,0.20267385333737892,0.2850574712643678,0.4,0.3018867924528302,0.7149425287356321,0.7057471264367816,0.5333333333333333,0.5701149425287356,0.46436781609195404,0.4574712643678161,150,5.0,0.06666666666666667,0.0005,512,435
D,InfoLOOB + Hopfield     (full CLOOB — proposed),True,True,True,0.009195402298850575,0.04199546184440703,0.05747126436781609,0.09655172413793103,0.17735849056603772,0.39770114942528734,0.296551724137931,0.24597701149425288,0.12643678160919541,0.1632183908045977,0.06666666666666667,150,5.0,0.06666666666666667,0.0005,512,435
E,MoleculeSTM (zero-shot) [Full gallery N=2699],False,,,0.0889218228973694,0.17109880349995998,0.2434234901815487,0.33679140422378656,,0.926,0.933,0.83,0.862,0.739,0.763,,,,,2699
E,MoleculeSTM (zero-shot) [Full gallery N=2699],True,,,0.014449796220822526,0.04435078531523051,0.060392738051130046,0.09188588366061504,,0.695,0.742,0.514,0.599,0.375,0.475,,,,,2699
F,Graphormer (zero-shot) [Scaffold test N=435],False,,,0.0022988505747126436,0.01507149927739411,0.011494252873563218,0.02528735632183908,0.16,0.22298850574712645,0.2367816091954023,0.11494252873563218,0.07816091954022988,0.04597701149425287,0.052873563218390804,,,,,435
F,Graphormer (zero-shot) [Scaffold test N=435],True,,,0.004597701149425287,0.018160796747715147,0.013793103448275862,0.027586206896551724,0.168,0.2413793103448276,0.24367816091954023,0.09655172413793103,0.10804597701149425,0.04827586206896552,0.06206896551724138,,,,,435
G,Thin Bridges (Global) [Full gallery N=2699; train=test],False,,,0.7465728047424972,0.8494389898521059,0.9848091885883661,0.9970359392367544,,1.0,0.999,1.0,0.997,1.0,0.997,,,,,2699
G,Thin Bridges (Global) [Full gallery N=2699; train=test],True,,,0.14523897739903668,0.2504275652616889,0.36606150426083733,0.4579473879214524,,0.788,0.89,0.681,0.801,0.586,0.744,,,,,2699
H,MoleculeLens (ours) [Scaffold test N=435],False,,,0.1793103448275862,0.2700620594668916,0.3793103448275862,0.45517241379310347,,0.7379310344827587,0.7195402298850575,0.5862068965517241,0.5977011494252874,0.5103448275862069,0.503448275862069,,,,,435
H,MoleculeLens (ours) [Scaffold test N=435],True,,,0.10574712643678161,0.2214875747439653,0.35172413793103446,0.46206896551724136,,0.696551724137931,0.7195402298850575,0.5770114942528736,0.5747126436781609,0.4804597701149425,0.5011494252873563,,,,,435
I,MolPrompt [Scaffold test N=435],False,,,0.12873563170433044,0.25645408034324646,0.4000000059604645,0.5310344696044922,,0.8344827586206897,0.8344827586206897,0.7149425287356321,0.7011494252873564,0.5770114942528736,0.5540229885057472,,,,,435
I,MolPrompt [Scaffold test N=435],True,,,0.0712643712759018,0.17798636853694916,0.28045976161956787,0.41379308700561523,,0.7632183908045977,0.7724137931034483,0.6137931034482759,0.6137931034482759,0.496551724137931,0.5218390804597701,,,,,435
J,KV-PLM [Scaffold test N=435],False,,,0.05517241379310345,0.12066567015324214,0.1724137931034483,0.25057471264367814,,0.639080459770115,0.6574712643678161,0.4298850574712644,0.432183908045977,0.3103448275862069,0.30114942528735633,,,,,435
J,KV-PLM [Scaffold test N=435],True,,,0.034482758620689655,0.0835323926468682,0.1103448275862069,0.1793103448275862,,0.5747126436781609,0.5540229885057472,0.3563218390804598,0.3632183908045977,0.25287356321839083,0.23448275862068965,,,,,435
